1793,3494,2410,2924
1783,3495,2364,2845
1783,3471,2299,2782
1795,3492,2372,2902
1816,3526,2434,2978
1855,3619,2492,3025
1782,3495,2344,2811
1757,3455,2268,2699
1757,3437,2268,2739
1780,3462,2340,2864
1798,3487,2400,2948
1760,3448,2284,2729
1743,3417,2239,2672
1763,3438,2291,2784
1787,3471,2367,2902
1799,3499,2416,2959
1788,3493,2392,2904
1767,3459,2315,2776
1742,3416,2240,2671
1747,3417,2259,2734
1799,3486,2407,2940
1777,3478,2366,2862
1754,3436,2284,2727
1742,3411,2236,2672
1757,3431,2286,2787
1782,3459,2360,2899
1795,3484,2411,2951
1784,3479,2380,2888
1761,3454,2307,2758
1771,3432,2311,2823
1788,3469,2385,2924
1793,3483,2407,2934
1776,3475,2359,2849
1747,3427,2272,2703
1780,3499,2300,2745
1863,3584,2398,2915
1850,3607,2476,3021
1832,3571,2478,3009
1819,3569,2350,2771
1800,3535,2339,2800
1817,3551,2403,2919
1859,3619,2508,3059
1849,3607,2502,3032
1843,3615,2465,2956
1806,3557,2363,2798
1796,3529,2329,2775
1816,3551,2395,2899
1855,3612,2483,2994
1800,3543,2388,2845
1767,3479,2294,2711
1771,3471,2303,2761
1793,3497,2375,2887
1823,3547,2457,2993
1823,3559,2460,2979
1804,3539,2400,2865
1776,3497,2312,2736
1825,3542,2422,2947
1827,3559,2471,3007
1812,3545,2438,2937
1791,3518,2364,2809
1784,3511,2313,2735
1784,3491,2328,2796
1810,3529,2407,2928
1822,3543,2458,2995
1816,3545,2446,2953
1780,3487,2289,2716
1795,3506,2359,2852
1819,3541,2435,2967
1824,3551,2466,2996
1814,3551,2435,2928
1784,3509,2345,2783
1769,3481,2291,2713
1786,3495,2335,2819
1809,3529,2414,2937
1811,3536,2396,2863
1772,3487,2311,2732
1764,3467,2282,2717
1784,3480,2344,2841
1807,3519,2424,2953
1817,3543,2455,2982
1801,3529,2416,2897
1775,3491,2327,2758
1761,3465,2279,2700
1823,3532,2440,2972
1807,3531,2440,2951
1788,3507,2380,2840
1764,3475,2297,2716
1764,3462,2284,2725
1784,3487,2351,2852
1807,3517,2423,2955
1814,3534,2451,2972
1798,3522,2407,2884
1776,3471,2298,2756
1792,3495,2375,2887
1812,3527,2443,2974
1809,3535,2446,2956
1788,3507,2380,2840
1760,3466,2294,2712
1760,3452,2279,2712
1783,3481,2347,2844
1804,3515,2423,2950
1784,3496,2348,2791
1758,3459,2279,2692
1763,3451,2293,2750
1788,3482,2367,2876
1807,3511,2432,2964
1806,3520,2436,2942
1784,3497,2368,2831
1759,3463,2291,2707
1756,3449,2278,2713
1817,3524,2440,2966
1799,3515,2419,2912
1772,3482,2342,2780
1755,3449,2270,2684
1765,3452,2294,2755
1786,3484,2371,2878
1804,3516,2435,2963
1805,3523,2432,2940
1783,3496,2367,2822
1777,3465,2312,2793
1791,3491,2387,2904
1811,3519,2435,2966
1799,3515,2416,2911
1772,3486,2339,2783
1753,3447,2271,2683
1760,3451,2286,2741
1785,3479,2363,2870
1800,3511,2425,2956
1772,3475,2316,2744
1751,3440,2267,2680
1766,3455,2308,2784
1789,3487,2384,2902
1809,3518,2441,2966
1799,3515,2427,2920
1779,3491,2355,2801
1755,3457,2281,2695
