1951,2567,3107,3052
2046,2719,3295,3259
2080,2785,3340,3312
2050,2749,3291,3256
1959,2577,3098,3046
1995,2631,3199,3158
2076,2767,3335,3308
2071,2779,3323,3292
2033,2726,3263,3224
1992,2663,3192,3145
1956,2585,3113,3060
1976,2604,3168,3115
2065,2749,3327,3291
2025,2702,3231,3187
1978,2631,3160,3108
1940,2555,3079,3019
2019,2675,3252,3206
2079,2783,3345,3315
2060,2766,3312,3276
2023,2711,3244,3206
1983,2643,3171,3123
1947,2567,3091,3036
2084,2785,3332,3300
2046,2745,3287,3249
2008,2682,3215,3169
1968,2609,3136,3084
1951,2565,3109,3048
2046,2719,3295,3257
2078,2787,3339,3310
2048,2751,3291,3256
2011,2687,3220,3180
2001,2634,3203,3148
2073,2771,3336,3306
2068,2777,3326,3292
2032,2729,3264,3224
1993,2663,3192,3144
1956,2588,3115,3062
1972,2601,3166,3111
2063,2751,3325,3288
2073,2781,3331,3298
1987,2634,3160,3110
1942,2558,3081,3023
2016,2672,3251,3203
2081,2784,3345,3315
2060,2767,3312,3278
2023,2711,3247,3207
1987,2643,3171,3124
1948,2571,3094,3039
2001,2646,3220,3171
2055,2748,3284,3247
2008,2682,3217,3175
1967,2613,3140,3089
1947,2564,3107,3049
2046,2719,3296,3253
2079,2787,3340,3312
2051,2756,3294,3261
2012,2696,3224,3186
1975,2622,3151,3103
2081,2768,3332,3299
2071,2780,3327,3296
2036,2732,3271,3233
1996,2670,3199,3152
1959,2593,3121,3068
1971,2595,3159,3104
2064,2750,3324,3288
2073,2785,3335,3302
2042,2743,3279,3244
1951,2561,3081,3025
2016,2670,3249,3200
2081,2784,3348,3316
2063,2771,3312,3281
2023,2716,3246,3209
1985,2647,3175,3128
1948,2572,3094,3039
2003,2648,3219,3172
2078,2774,3345,3312
2016,2684,3215,3174
1970,2616,3143,3091
1947,2559,3099,3043
2043,2712,3291,3250
2079,2787,3343,3312
2055,2759,3299,3262
2014,2697,3231,3190
1976,2623,3151,3105
1938,2555,3079,3022
2081,2784,3324,3295
2036,2735,3272,3235
1998,2668,3199,3154
1959,2592,3120,3068
1974,2600,3160,3107
2064,2751,3327,3287
2076,2783,3335,3303
2044,2740,3279,3247
2006,2679,3208,3167
2019,2663,3236,3187
2080,2784,3347,3316
2065,2773,3315,3285
2028,2719,3256,3215
1990,2651,3177,3135
1949,2577,3102,3047
1995,2636,3207,3154
2078,2775,3342,3308
2068,2779,3324,3292
1980,2622,3143,3093
1945,2559,3095,3036
2041,2715,3291,3248
2080,2785,3343,3313
2054,2758,3299,3265
2016,2697,3230,3187
1976,2626,3151,3105
1942,2553,3084,3026
2035,2700,3278,3239
2044,2732,3264,3230
1998,2664,3193,3151
1959,2588,3116,3062
1979,2611,3175,3123
2070,2757,3331,3299
2075,2783,3329,3303
2041,2737,3275,3244
2002,2673,3206,3164
1963,2601,3126,3078
2092,2787,3345,3313
2094,2771,3315,3283
2024,2710,3247,3209
1984,2643,3171,3127
1948,2568,3089,3040
2009,2659,3235,3191
2081,2780,3347,3319
2067,2776,3320,3288
2030,2719,3257,3222
1959,2568,3111,3054
2048,2719,3298,3263
2079,2784,3338,3312
2048,2748,3294,3258
2008,2685,3223,3184
1969,2615,3147,3097
1943,2552,3092,3038
